timestamp,true_lat,true_lon,measured_lat,measured_lon,position_error_m,num_stations,avg_signal_strength,min_distance_to_station,max_distance_to_station,route_deviation_m,trilateration_success
2025-12-09T11:39:58.410394,55.83639887666659,37.53760199806023,55.83636285915608,37.5376292211425,4.35078324433505,6,66.13967436883257,1064.8052823806297,1484.1466613503796,0.0,1
2025-12-09T11:39:58.591435,55.83639377286092,37.53760595316895,55.83635774502679,37.537633197289516,4.352353352880222,6,66.13487059608035,1065.356210059918,1484.6402695772344,0.2551856806767292,1
2025-12-09T11:39:58.829489,55.83638822186411,37.53761487889316,55.83635217667197,37.537642157276814,4.354966440492457,6,66.12878709192893,1065.9375624193121,1485.1095348282854,0.30239604775052065,1
2025-12-09T11:39:58.966520,55.83638121847836,37.53762714916301,55.83634515005309,37.53765447324985,4.35846066257176,6,66.12092611294055,1066.6676364960706,1485.6873012085562,0.31168958584444306,1
2025-12-09T11:39:59.087548,55.83637280074887,37.53764208150944,55.836336704161624,37.53766946096811,4.3626963116592865,6,66.11144623609611,1067.545275586219,1486.379834864923,0.3136906616546615,1
2025-12-09T11:39:59.214576,55.83636322335218,37.53765910440728,55.83632709468851,37.53768654692916,4.367521646113765,6,66.1006579800762,1068.5448086410743,1487.1683259136548,0.3143037426160657,1
2025-12-09T11:39:59.340604,55.83635281529758,37.53767760963271,55.83631665177915,37.53770512067881,4.372766183960844,6,66.08893757379234,1069.6323513781774,1488.026369212674,0.31467544065692354,1
2025-12-09T11:39:59.465633,55.8363419541852,37.53769692121727,55.83630575430647,37.53772450374686,4.378238662541865,6,66.07671197471697,1070.768716558679,1488.9231383468575,0.31502171140828505,1
2025-12-09T11:39:59.612666,55.836331139470154,37.537716150134756,55.83629490339964,37.53774380381609,4.383687201911117,6,66.06454386425715,1071.9017304361662,1489.8174847416858,0.3153749899470632,1
2025-12-09T11:39:59.737694,55.83632091475738,37.53773432961678,55.836284644481935,37.53776205054337,4.388837927958575,6,66.05304447173789,1072.9743080249023,1490.6643329071208,0.31572852638202525,1
2025-12-09T11:39:59.872725,55.83631172186096,37.53775067412714,55.83627542084273,37.53777845549226,4.3934683841150735,6,66.0427095994808,1073.939786054719,1491.4267947390447,0.3160667080347028,1
2025-12-09T11:39:59.997753,55.836304003886774,37.53776439581346,55.83626767706602,37.53779222790464,4.397355526023895,6,66.03403588512808,1074.7511921304847,1492.0677116477607,0.3163748401941342,1
2025-12-09T11:40:00.131784,55.83629820504763,37.537774704851834,55.83626185884551,37.537802575045404,4.400275792304357,6,66.02752083630283,1075.3613346254167,1492.5497356496066,0.3166383637792089,1
2025-12-09T11:40:00.248809,55.83629477034599,37.537780810014084,55.83625841266715,37.53780870277015,4.40200522649997,6,66.02366281028831,1075.722931006341,1492.835445014728,0.31684270316940943,1
2025-12-09T11:40:00.388842,55.836294010889745,37.53778215822926,55.83625806146962,37.53780932529518,4.342448924698732,6,66.02281014288977,1075.8029102286405,1492.8986621384702,0.3169732566820828,1
2025-12-09T11:40:00.514869,55.83629134471217,37.537787143075846,55.83625497406841,37.537815058672805,4.403893649313374,6,66.01976997641884,1076.0829380584894,1493.1170974850136,0.27414340216684496,1
2025-12-09T11:40:00.639899,55.83628755370185,37.537793153638795,55.836251170289906,37.53782109127511,4.40574229619575,6,66.01564872940797,1076.4847071774634,1493.4430224528837,0.2733184552120971,1
2025-12-09T11:40:00.804936,55.836283242639524,37.537799972211054,55.83624684473215,37.537827934869924,4.407841202343615,6,66.01096602361734,1076.9418205869074,1493.8140629826607,0.27326097973614794,1
2025-12-09T11:40:00.930966,55.83627919946297,37.53780636429278,55.83624278796647,37.53783435040993,4.4098090148316285,6,66.00657560442971,1077.370708542839,1494.1622527821135,0.27335580099931683,1
2025-12-09T11:40:01.052992,55.836276208755805,37.53781109160704,55.83623978720979,37.53783909507223,4.411264344924029,6,66.0033286951499,1077.688062348557,1494.4199216010663,0.27347179595753685,1
2025-12-09T11:40:01.193024,55.83627505436432,37.537812915389885,55.83623870556919,37.53784080436896,4.401005051333048,6,66.00207569589212,1077.8105855904316,1494.5194164077034,0.27356595431530056,1
2025-12-09T11:40:01.348060,55.83627634218639,37.53780664497112,55.836239902724884,37.53783463318326,4.412716029235504,6,66.00426380778269,1077.687142780041,1494.467884265481,0.3641645856630467,1
2025-12-09T11:40:01.476088,55.836271500130785,37.537793405232705,55.836235035686514,37.537821346986846,4.414119595287697,6,66.00290326265262,1078.2666613695267,1495.1785870277924,0.5933078005584841,1
2025-12-09T11:40:01.606118,55.83626235328437,37.5377783019961,55.836225856777084,37.53780618035812,4.415832938955128,6,65.9984818637345,1079.3308179215494,1496.3821857100381,0.5333850367932633,1
2025-12-09T11:40:01.740148,55.83625258566797,37.53776057028744,55.836216052482214,37.53778837701817,4.417821712632638,6,65.99405318265772,1080.473277959628,1497.690477546688,0.5491516303552598,1
2025-12-09T11:40:01.867177,55.83624245478571,37.53774258227385,55.83620588418179,37.537770315708094,4.419852818123609,6,65.98937855952497,1081.6579494174794,1499.042203171335,0.5454517833365564,1
2025-12-09T11:40:01.974202,55.83623298508912,37.53772567160808,55.83619681376884,37.537755360932216,4.4287582698745265,5,66.31605066102627,1082.7665746647208,1436.4237793569666,0.5467997161438181,1
2025-12-09T11:40:02.085225,55.83622492445031,37.53771118821241,55.83618939191509,37.53774286214436,4.418417497293147,5,66.31330884916238,1083.7112711788016,1436.464563635191,0.5523728487566235,1
